indicator_id,region_id,date,value
ZATT,231,2020-01-31,447485.0
ZATT,1712,2020-01-31,269785.0
ZATT,2897,2020-01-31,664864.0
ZATT,1146,2020-01-31,340601.0
ZATT,1325,2020-01-31,754264.0
ZATT,2869,2020-01-31,464947.0
ZATT,1953,2020-01-31,481443.0
ZATT,1272,2020-01-31,269185.0
ZATT,2323,2020-01-31,333721.0
ZATT,1894,2020-01-31,318065.0
ZATT,1161,2020-01-31,262298.0
ZATT,373,2020-01-31,372305.0
ZATT,2552,2020-01-31,669339.0
ZATT,1916,2020-01-31,454475.0
ZATT,1638,2020-01-31,783378.0
ZATT,1893,2020-01-31,195140.0
ZATT,2912,2020-01-31,214210.0
ZATT,3269,2020-01-31,240675.0
ZATT,3158,2020-01-31,375625.0
ZATT,1171,2020-01-31,375426.0
ZATT,2151,2020-01-31,332282.0
ZATT,1887,2020-01-31,750415.0
ZATT,2515,2020-01-31,628753.0
ZATT,98,2020-01-31,249299.0
ZATT,1922,2020-01-31,313629.0
ZATT,1771,2020-01-31,405341.0
ZATT,470,2020-01-31,498792.0
ZATT,823,2020-01-31,340131.0
ZATT,1150,2020-01-31,271754.0
ZATT,1849,2020-01-31,586322.0
ZATT,3112,2020-01-31,332921.0
ZATT,2259,2020-01-31,301939.0
ZATT,2255,2020-01-31,427893.0
ZATT,219,2020-01-31,327833.0
ZATT,1701,2020-01-31,347804.0
ZATT,2877,2020-01-31,179224.0
ZATT,3013,2020-01-31,537800.0
ZATT,1549,2020-01-31,954809.0
ZATT,2616,2020-01-31,466285.0
ZATT,2702,2020-01-31,365348.0
ZATT,2929,2020-01-31,302548.0
ZATT,1101,2020-01-31,660719.0
ZATT,1670,2020-01-31,724023.0
ZATT,2775,2020-01-31,315906.0
ZATT,3141,2020-01-31,254444.0
ZATT,2911,2020-01-31,512056.0
ZATT,1110,2020-01-31,247946.0
ZATT,159,2020-01-31,219806.0
ZATT,1891,2020-01-31,252784.0
ZATT,3131,2020-01-31,308540.0
ZATT,232,2020-01-31,325660.0
ZATT,1057,2020-01-31,247731.0
ZATT,2318,2020-01-31,460329.0
ZATT,2133,2020-01-31,340926.0
ZATT,2987,2020-01-31,373384.0
ZATT,3122,2020-01-31,218385.0
ZATT,3261,2020-01-31,905149.0
ZATT,563,2020-01-31,302118.0
ZATT,1900,2020-01-31,228294.0
ZATT,1957,2020-01-31,316092.0
ZATT,1650,2020-01-31,271859.0
ZATT,999,2020-01-31,377293.0
ZATT,2849,2020-01-31,233894.0
ZATT,1608,2020-01-31,372946.0
ZATT,1300,2020-01-31,367819.0
ZATT,3016,2020-01-31,348039.0
ZATT,2779,2020-01-31,294621.0
ZATT,3025,2020-01-31,1217748.0
ZATT,1622,2020-01-31,179351.0
ZATT,1196,2020-01-31,366076.0
ZATT,2668,2020-01-31,260299.0
ZATT,423,2020-01-31,213175.0
ZATT,329,2020-01-31,536022.0
ZATT,625,2020-01-31,1987734.0
ZATT,2754,2020-01-31,206086.0
ZATT,2575,2020-01-31,478871.0
ZATT,1138,2020-01-31,635433.0
ZATT,2761,2020-01-31,289191.0
ZATT,328,2020-01-31,260922.0
ZATT,410,2020-01-31,282708.0
ZATT,1509,2020-01-31,319294.0
ZATT,562,2020-01-31,186859.0
ZATT,1761,2020-01-31,429804.0
ZATT,1503,2020-01-31,337124.0
ZATT,3173,2020-01-31,312828.0
ZATT,2399,2020-01-31,189891.0
ZATT,2156,2020-01-31,467984.0
ZATT,3061,2020-01-31,477889.0
ZATT,2914,2020-01-31,321789.0
ZATT,2429,2020-01-31,282291.0
ZATT,1283,2020-01-31,222487.0
ZATT,3225,2020-01-31,351955.0
ZATT,2699,2020-01-31,477448.0
ZATT,802,2020-01-31,424414.0
ZATT,225,2020-01-31,253891.0
ZATT,2967,2020-01-31,219967.0
ZATT,344,2020-01-31,354246.0
ZATT,3254,2020-01-31,394859.0
ZATT,126,2020-01-31,308134.0
ZATT,2770,2020-01-31,295109.0
ZATT,864,2020-01-31,337173.0
ZATT,418,2020-01-31,504858.0
ZATT,2529,2020-01-31,402162.0
ZATT,2744,2020-01-31,275453.0
ZATT,1946,2020-01-31,242218.0
ZATT,2885,2020-01-31,768629.0
ZATT,2949,2020-01-31,234504.0
ZATT,2188,2020-01-31,414938.0
ZATT,1480,2020-01-31,382278.0
ZATT,235,2020-01-31,262671.0
ZATT,2112,2020-01-31,511966.0
ZATT,2583,2020-01-31,174858.0
ZATT,725,2020-01-31,279671.0
ZATT,2252,2020-01-31,275649.0
ZATT,3070,2020-01-31,319803.0
ZATT,2619,2020-01-31,1118720.0
ZATT,1032,2020-01-31,268946.0
ZATT,3219,2020-01-31,426349.0
ZATT,553,2020-01-31,285167.0
ZATT,1809,2020-01-31,483532.0
ZATT,3048,2020-01-31,314541.0
ZATT,3109,2020-01-31,448664.0
ZATT,770,2020-01-31,454312.0
ZATT,2086,2020-01-31,623217.0
ZATT,2648,2020-01-31,233565.0
ZATT,340,2020-01-31,703916.0
ZATT,895,2020-01-31,182390.0
ZATT,2509,2020-01-31,182162.0
ZATT,3129,2020-01-31,291251.0
ZATT,1210,2020-01-31,375576.0
ZATT,2010,2020-01-31,178612.0
ZATT,1691,2020-01-31,267694.0
ZATT,2526,2020-01-31,233677.0
ZATT,2206,2020-01-31,301427.0
ZATT,1412,2020-01-31,504988.0
ZATT,341,2020-01-31,517348.0
ZATT,347,2020-01-31,242667.0
ZATT,1348,2020-01-31,328167.0
ZATT,1381,2020-01-31,383828.0
ZATT,890,2020-01-31,358234.0
ZATT,3043,2020-01-31,290286.0
ZATT,1832,2020-01-31,174218.0
ZATT,2644,2020-01-31,265601.0
ZATT,118,2020-01-31,306377.0
ZATT,3128,2020-01-31,517615.0
ZATT,2955,2020-01-31,409368.0
ZATT,2448,2020-01-31,208731.0
ZATT,913,2020-01-31,370320.0
ZATT,2122,2020-01-31,280870.0
ZATT,2333,2020-01-31,235436.0
ZATT,1314,2020-01-31,196660.0
ZATT,1092,2020-01-31,650725.0
ZATT,905,2020-01-31,426577.0
ZATT,3080,2020-01-31,767387.0
ZATT,1448,2020-01-31,378250.0
ZATT,1525,2020-01-31,372729.0
ZATT,2691,2020-01-31,714271.0
ZATT,2959,2020-01-31,401011.0
ZATT,2460,2020-01-31,417581.0
ZATT,3278,2020-01-31,256638.0
ZATT,3146,2020-01-31,221278.0
ZATT,172,2020-01-31,390694.0
ZATT,2159,2020-01-31,345084.0
ZATT,2023,2020-01-31,218170.0
ZATT,2141,2020-01-31,328549.0
ZATT,1285,2020-01-31,251373.0
ZATT,1380,2020-01-31,403934.0
ZATT,2820,2020-01-31,276221.0
ZATT,1711,2020-01-31,509108.0
ZATT,872,2020-01-31,456208.0
ZATT,2354,2020-01-31,297348.0
ZATT,2249,2020-01-31,479884.0
ZATT,3041,2020-01-31,285554.0
ZATT,2341,2020-01-31,255551.0
ZATT,1191,2020-01-31,331570.0
ZATT,2982,2020-01-31,267892.0
ZATT,2449,2020-01-31,229673.0
ZATT,860,2020-01-31,237533.0
ZATT,1225,2020-01-31,252833.0
ZATT,1186,2020-01-31,243585.0
ZATT,2805,2020-01-31,326886.0
ZATT,2360,2020-01-31,287576.0
ZATT,67,2020-01-31,354727.0
ZATT,283,2020-01-31,234641.0
ZATT,1595,2020-01-31,473499.0
ZATT,2878,2020-01-31,248273.0
ZATT,1862,2020-01-31,305883.0
ZATT,1837,2020-01-31,319426.0
ZATT,202,2020-01-31,371898.0
ZATT,2800,2020-01-31,433792.0
ZATT,706,2020-01-31,274573.0
ZATT,1330,2020-01-31,329015.0
ZATT,3123,2020-01-31,281497.0
ZATT,2242,2020-01-31,255833.0
ZATT,395,2020-01-31,304508.0
ZATT,199,2020-01-31,310890.0
