indicator_id,region_id,date,value,zip_code
ZSFH,58405,2020-01-31,107706.0,1525
ZSFH,58407,2020-01-31,330762.0,1527
ZSFH,58408,2020-01-31,328857.0,1529
ZSFH,58409,2020-01-31,314988.0,1531
ZSFH,58410,2020-01-31,476982.0,1532
ZSFH,58411,2020-01-31,383455.0,1534
ZSFH,58412,2020-01-31,247531.0,1535
ZSFH,58413,2020-01-31,382951.0,1536
ZSFH,58414,2020-01-31,273286.0,1537
ZSFH,58416,2020-01-31,265661.0,1540
ZSFH,58417,2020-01-31,415884.0,1541
ZSFH,58418,2020-01-31,291697.0,1542
ZSFH,58419,2020-01-31,351775.0,1543
ZSFH,58420,2020-01-31,481148.0,1545
ZSFH,58422,2020-01-31,228959.0,1550
ZSFH,58423,2020-01-31,456399.0,1560
ZSFH,58425,2020-01-31,273520.0,1562
ZSFH,58426,2020-01-31,391041.0,1564
ZSFH,58427,2020-01-31,326470.0,1566
ZSFH,58428,2020-01-31,477423.0,1568
ZSFH,58429,2020-01-31,364828.0,1569
ZSFH,58430,2020-01-31,276253.0,1570
ZSFH,58431,2020-01-31,291045.0,1571
ZSFH,58433,2020-01-31,550731.0,1581
ZSFH,58435,2020-01-31,336714.0,1583
ZSFH,58436,2020-01-31,263024.0,1585
ZSFH,58438,2020-01-31,340749.0,1588
ZSFH,58439,2020-01-31,406956.0,1590
ZSFH,58441,2020-01-31,284114.0,1602
ZSFH,58442,2020-01-31,248216.0,1603
ZSFH,58443,2020-01-31,270241.0,1604
ZSFH,58444,2020-01-31,280297.0,1605
ZSFH,58445,2020-01-31,274008.0,1606
ZSFH,58446,2020-01-31,259997.0,1607
ZSFH,58447,2020-01-31,232657.0,1608
ZSFH,58448,2020-01-31,369551.0,1609
ZSFH,58449,2020-01-31,247357.0,1610
ZSFH,58450,2020-01-31,263172.0,1611
ZSFH,58451,2020-01-31,360405.0,1612
ZSFH,58452,2020-01-31,290409.0,1613
ZSFH,58458,2020-01-31,470965.0,1701
ZSFH,58459,2020-01-31,450041.0,1702
ZSFH,58463,2020-01-31,354650.0,1718
ZSFH,58464,2020-01-31,672820.0,1719
ZSFH,58465,2020-01-31,631997.0,1720
ZSFH,58466,2020-01-31,503948.0,1721
ZSFH,58467,2020-01-31,758938.0,1730
ZSFH,58469,2020-01-31,595332.0,1740
ZSFH,58470,2020-01-31,832591.0,1741
ZSFH,58471,2020-01-31,992685.0,1742
ZSFH,58472,2020-01-31,447868.0,1745
ZSFH,58473,2020-01-31,487493.0,1746
ZSFH,58474,2020-01-31,403821.0,1747
ZSFH,58475,2020-01-31,661388.0,1748
ZSFH,58476,2020-01-31,400449.0,1749
ZSFH,58477,2020-01-31,412806.0,1752
ZSFH,58478,2020-01-31,423592.0,1754
ZSFH,58479,2020-01-31,464320.0,1756
ZSFH,58480,2020-01-31,380785.0,1757
ZSFH,58481,2020-01-31,656745.0,1760
ZSFH,58482,2020-01-31,835435.0,1770
ZSFH,58483,2020-01-31,677786.0,1772
ZSFH,58484,2020-01-31,1203906.0,1773
ZSFH,58485,2020-01-31,562769.0,1775
ZSFH,58486,2020-01-31,768104.0,1776
ZSFH,58487,2020-01-31,786823.0,1778
ZSFH,58489,2020-01-31,542959.0,1801
ZSFH,58490,2020-01-31,611711.0,1803
ZSFH,58495,2020-01-31,679444.0,1810
ZSFH,58499,2020-01-31,471998.0,1821
ZSFH,58501,2020-01-31,489489.0,1824
ZSFH,58502,2020-01-31,391279.0,1826
ZSFH,58503,2020-01-31,525675.0,1827
ZSFH,58504,2020-01-31,369631.0,1830
ZSFH,58506,2020-01-31,380048.0,1832
ZSFH,58507,2020-01-31,495710.0,1833
ZSFH,58508,2020-01-31,464565.0,1834
ZSFH,58509,2020-01-31,384952.0,1835
ZSFH,58510,2020-01-31,291302.0,1840
ZSFH,58511,2020-01-31,311834.0,1841
ZSFH,58512,2020-01-31,302733.0,1842
ZSFH,58513,2020-01-31,326883.0,1843
ZSFH,58514,2020-01-31,389318.0,1844
ZSFH,58515,2020-01-31,609678.0,1845
ZSFH,58516,2020-01-31,303860.0,1850
ZSFH,58517,2020-01-31,345932.0,1851
ZSFH,58518,2020-01-31,361344.0,1852
